subject_iri,relation,object_iri,subject_label,object_label
http://healthcarekg.org/ontology/otosclerosis,hasSymptom,http://healthcarekg.org/ontology/hearing_loss,"otosclerosis","Hearing Loss"
http://healthcarekg.org/ontology/head_and_neck_cancer,hasSymptom,http://healthcarekg.org/ontology/horner_syndrome,"head and neck cancer","Horner Syndrome"
http://healthcarekg.org/ontology/creutzfeldt_jakob_disease,hasSymptom,http://healthcarekg.org/ontology/hemifacial_spasm,"Creutzfeldt-Jakob disease","Hemifacial Spasm"
http://healthcarekg.org/ontology/glaucoma,treatedBy,http://healthcarekg.org/ontology/brinzolamide,"glaucoma","Brinzolamide"
http://healthcarekg.org/ontology/polycystic_ovary_syndrome,hasSymptom,http://healthcarekg.org/ontology/dysmenorrhea,"polycystic ovary syndrome","Dysmenorrhea"
http://healthcarekg.org/ontology/rheumatoid_arthritis,hasSymptom,http://healthcarekg.org/ontology/fever,"rheumatoid arthritis","Fever"
http://healthcarekg.org/ontology/hypertension,treatedBy,http://healthcarekg.org/ontology/carvedilol,"hypertension","Carvedilol"
http://healthcarekg.org/ontology/type_1_diabetes_mellitus,hasSymptom,http://healthcarekg.org/ontology/blindness,"type 1 diabetes mellitus","Blindness"
http://healthcarekg.org/ontology/hypertension,treatedBy,http://healthcarekg.org/ontology/guanadrel,"hypertension","Guanadrel"
http://healthcarekg.org/ontology/hematologic_cancer,treatedBy,http://healthcarekg.org/ontology/cladribine,"hematologic cancer","Cladribine"
http://healthcarekg.org/ontology/atherosclerosis,hasSymptom,http://healthcarekg.org/ontology/mobility_limitation,"atherosclerosis","Mobility Limitation"
http://healthcarekg.org/ontology/atherosclerosis,hasSymptom,http://healthcarekg.org/ontology/amaurosis_fugax,"atherosclerosis","Amaurosis Fugax"
http://healthcarekg.org/ontology/panic_disorder,hasSymptom,http://healthcarekg.org/ontology/chest_pain,"panic disorder","Chest Pain"
http://healthcarekg.org/ontology/malignant_glioma,hasSymptom,http://healthcarekg.org/ontology/memory_disorders,"malignant glioma","Memory Disorders"
http://healthcarekg.org/ontology/rheumatoid_arthritis,hasSymptom,http://healthcarekg.org/ontology/prodromal_symptoms,"rheumatoid arthritis","Prodromal Symptoms"
http://healthcarekg.org/ontology/malignant_glioma,hasSymptom,http://healthcarekg.org/ontology/headache,"malignant glioma","Headache"
http://healthcarekg.org/ontology/prostate_cancer,treatedBy,http://healthcarekg.org/ontology/doxorubicin,"prostate cancer","Doxorubicin"
http://healthcarekg.org/ontology/melanoma,hasSymptom,http://healthcarekg.org/ontology/hyphema,"melanoma","Hyphema"
http://healthcarekg.org/ontology/vitiligo,hasSymptom,http://healthcarekg.org/ontology/deafness,"vitiligo","Deafness"
http://healthcarekg.org/ontology/barrett_s_esophagus,hasSymptom,http://healthcarekg.org/ontology/chest_pain,"Barrett's esophagus","Chest Pain"
http://healthcarekg.org/ontology/pharynx_cancer,hasSymptom,http://healthcarekg.org/ontology/cerebrospinal_fluid_otorrhea,"pharynx cancer","Cerebrospinal Fluid Otorrhea"
http://healthcarekg.org/ontology/type_1_diabetes_mellitus,hasSymptom,http://healthcarekg.org/ontology/dyspepsia,"type 1 diabetes mellitus","Dyspepsia"
http://healthcarekg.org/ontology/autistic_disorder,hasSymptom,http://healthcarekg.org/ontology/encopresis,"autistic disorder","Encopresis"
http://healthcarekg.org/ontology/epilepsy_syndrome,hasSymptom,http://healthcarekg.org/ontology/spasm,"epilepsy syndrome","Spasm"
http://healthcarekg.org/ontology/muscle_cancer,hasSymptom,http://healthcarekg.org/ontology/neuralgia,"muscle cancer","Neuralgia"
http://healthcarekg.org/ontology/meningioma,hasSymptom,http://healthcarekg.org/ontology/headache,"meningioma","Headache"
http://healthcarekg.org/ontology/hypothyroidism,hasSymptom,http://healthcarekg.org/ontology/hearing_disorders,"hypothyroidism","Hearing Disorders"
http://healthcarekg.org/ontology/epilepsy_syndrome,treatedBy,http://healthcarekg.org/ontology/carbamazepine,"epilepsy syndrome","Carbamazepine"
http://healthcarekg.org/ontology/melanoma,hasSymptom,http://healthcarekg.org/ontology/vomiting,"melanoma","Vomiting"
http://healthcarekg.org/ontology/multiple_sclerosis,hasSymptom,http://healthcarekg.org/ontology/sleep_disorders,"multiple sclerosis","Sleep Disorders"
http://healthcarekg.org/ontology/alcohol_dependence,hasSymptom,http://healthcarekg.org/ontology/learning_disorders,"alcohol dependence","Learning Disorders"
http://healthcarekg.org/ontology/epilepsy_syndrome,hasSymptom,http://healthcarekg.org/ontology/coma,"epilepsy syndrome","Coma"
http://healthcarekg.org/ontology/refractive_error,hasSymptom,http://healthcarekg.org/ontology/pseudophakia,"refractive error","Pseudophakia"
